Threads(I)  Time(sec)(T_i)         Gain(S)
         1        2.418345        1.000000
         2        1.221028        1.980581
         4        0.668566        3.617212
         6        0.536565        4.507086
         8        0.320442        7.546899
        16        0.168082       14.387888
        20        0.137444       17.595127
        40        0.165356       14.625088
