Threads(I)  Time(sec)(T_i)         Gain(S)
         1        9.749651        1.000000
         2        4.851106        2.009779
         4        2.580218        3.778615
         6        2.454000        3.972963
         8        1.627706        5.989811
        16        0.666238       14.633884
        20        0.596844       16.335337
        40        0.655991       14.862480
