Threads(I)  Time(sec)(T_i)         Gain(S)
         1       35.360389        1.000000
         2       17.240730        2.050980
         4       10.207951        3.464005
         6        7.872142        4.491838
         8        7.495832        4.717340
        16        6.156469        5.743615
        20        6.166628        5.734153
        40        9.533802        3.708949
