Threads(I)  Time(sec)(T_i)         Gain(S)
         1       35.990922        1.000000
         2       18.049717        1.993988
         4        9.393788        3.831354
         6        7.680842        4.685804
         8        7.179955        5.012695
        16        5.436218        6.620581
        20        6.100263        5.899897
        40        5.742655        6.267297
