Threads(I)  Time(sec)(T_i)         Gain(S)
         1       57.389699        1.000000
         2       29.183826        1.966490
         4       17.426961        3.293156
         6       12.086923        4.748082
         8        9.488170        6.048553
        16        8.457259        6.785851
        20        7.433176        7.720751
        40        6.756769        8.493660
