Threads(I)  Time(sec)(T_i)         Gain(S)
         1       62.457889        1.000000
         2       32.648643        1.913032
         4       18.193924        3.432898
         6       12.524593        4.986820
         8       10.032355        6.225646
        16        9.877981        6.322941
        20        9.667691        6.460476
        40        8.667742        7.205785
