Threads(I)  Time(sec)(T_i)         Gain(S)
         1        0.486238        1.000000
         2        0.254696        1.909092
         4        0.135229        3.595661
         6        0.094952        5.120889
         8        0.073034        6.657689
        16        0.044423       10.945611
        20        0.036673       13.258808
        40        0.025936       18.747518
